,team_name,league,country,player_name,player_url,player_pos,player_age,nationality,in_squad,appearances,goals,minutes_played
1,Manchester City,Premier League,England,Ederson,https://www.transfermarkt.com/ederson/profil/spieler/238223,Goalkeeper,30,Brazil,27,23,0,2070
2,Manchester City,Premier League,England,Stefan Ortega,https://www.transfermarkt.com/stefan-ortega/profil/spieler/85941,Goalkeeper,31,Germany,28,5,0,450
3,Manchester City,Premier League,England,Zack Steffen,https://www.transfermarkt.com/zack-steffen/profil/spieler/221624,Goalkeeper,28,United States,0,0,0,0
4,Manchester City,Premier League,England,True Grant,https://www.transfermarkt.com/true-grant/profil/spieler/919438,Goalkeeper,18,England,1,0,0,0
5,Manchester City,Premier League,England,Scott Carson,https://www.transfermarkt.com/scott-carson/profil/spieler/14555,Goalkeeper,38,England,18,0,0,0
6,Manchester City,Premier League,England,Rúben Dias,https://www.transfermarkt.com/ruben-dias/profil/spieler/258004,Centre-Back,26,Portugal,27,22,0,1853
7,Manchester City,Premier League,England,Josko Gvardiol,https://www.transfermarkt.com/josko-gvardiol/profil/spieler/475959,Centre-Back,21,Croatia,27,20,0,1557
8,Manchester City,Premier League,England,Manuel Akanji,https://www.transfermarkt.com/manuel-akanji/profil/spieler/284730,Centre-Back,28,Switzerland,26,23,3,1805
9,Manchester City,Premier League,England,Nathan Aké,https://www.transfermarkt.com/nathan-ake/profil/spieler/177476,Centre-Back,28,Netherlands,26,23,2,1444
10,Manchester City,Premier League,England,John Stones,https://www.transfermarkt.com/john-stones/profil/spieler/186590,Centre-Back,29,England,18,12,0,742
11,Manchester City,Premier League,England,Rico Lewis,https://www.transfermarkt.com/rico-lewis/profil/spieler/701057,Right-Back,19,England,28,16,1,949
12,Manchester City,Premier League,England,Aymeric Laporte,https://www.transfermarkt.com/aymeric-laporte/profil/spieler/176553,Centre-Back,29,Spain,3,1,0,11
13,Manchester City,Premier League,England,Kyle Walker,https://www.transfermarkt.com/kyle-walker/profil/spieler/95424,Right-Back,33,England,28,25,0,2185
14,Manchester City,Premier League,England,Sergio Gómez,https://www.transfermarkt.com/sergio-gomez/profil/spieler/366930,Left-Back,23,Spain,25,8,0,265
15,Manchester City,Premier League,England,Max Alleyne,https://www.transfermarkt.com/max-alleyne/profil/spieler/843595,Centre-Back,18,England,3,0,0,0
16,Manchester City,Premier League,England,Rodri,https://www.transfermarkt.com/rodri/profil/spieler/357565,Defensive Midfield,27,Spain,24,22,4,1867
17,Manchester City,Premier League,England,Bernardo Silva,https://www.transfermarkt.com/bernardo-silva/profil/spieler/241641,Attacking Midfield,29,Portugal,23,22,5,1670
18,Manchester City,Premier League,England,Kevin De Bruyne,https://www.transfermarkt.com/kevin-de-bruyne/profil/spieler/88755,Attacking Midfield,32,Belgium,2,2,0,49
19,Manchester City,Premier League,England,Matheus Nunes,https://www.transfermarkt.com/matheus-nunes/profil/spieler/601883,Central Midfield,25,Portugal,20,15,0,686
20,Manchester City,Premier League,England,Cole Palmer,https://www.transfermarkt.com/cole-palmer/profil/spieler/568177,Attacking Midfield,21,England,5,3,2,121
21,Manchester City,Premier League,England,Mateo Kovacic,https://www.transfermarkt.com/mateo-kovacic/profil/spieler/51471,Central Midfield,29,Croatia,23,20,1,1259
22,Manchester City,Premier League,England,Kalvin Phillips,https://www.transfermarkt.com/kalvin-phillips/profil/spieler/351749,Defensive Midfield,28,England,28,10,1,318
23,Manchester City,Premier League,England,James McAtee,https://www.transfermarkt.com/james-mcatee/profil/spieler/583199,Central Midfield,21,England,5,1,0,0
24,Manchester City,Premier League,England,Máximo Perrone,https://www.transfermarkt.com/maximo-perrone/profil/spieler/668547,Defensive Midfield,20,Argentina,2,0,0,0
25,Manchester City,Premier League,England,Mahamadou Susoho,https://www.transfermarkt.com/mahamadou-susoho/profil/spieler/895074,Defensive Midfield,18,Spain,4,1,0,14
26,Manchester City,Premier League,England,Erling Haaland,https://www.transfermarkt.com/erling-haaland/profil/spieler/418560,Centre-Forward,23,Norway,23,22,19,1870
27,Manchester City,Premier League,England,Phil Foden,https://www.transfermarkt.com/phil-foden/profil/spieler/406635,Right Winger,23,England,28,27,8,2009
28,Manchester City,Premier League,England,Julián Álvarez,https://www.transfermarkt.com/julian-alvarez/profil/spieler/576024,Second Striker,23,Argentina,28,26,10,1855
29,Manchester City,Premier League,England,Jack Grealish,https://www.transfermarkt.com/jack-grealish/profil/spieler/203460,Left Winger,28,England,23,20,3,1313
